english,spanish,gemma2:9b,endpoint,gemma3:4b,gemma3:4b-it-qat,thinkverse/towerinstruct:latest
Green LED light (520 nm),Luz LED verde (519 nm),Luz verde LED (520 nm),faq-swiss-202,LED verde (520 nm),LED verde (520 nm),Luz LED verde (520 nm)
Intended to brighten dull skin & even skin tone.,Ilumina la piel y equilibra su tono.,Intencionado para iluminar la piel apagada y unificar el tono de la piel.,faq-swiss-202,Diseñado para iluminar la piel apagada y unificar el tono de piel.,Diseñado para iluminar la piel apagada y unificar el tono de la piel.,Con el objetivo de iluminar la piel sin brillo y regular el tono de la piel.
Orange LED light (600 nm),Luz LED naranja (590 nm),Luz LED naranja (600 nm),faq-swiss-202,LED rojo naranja (600 nm),Luz LED naranja (600 nm),Luz de LED naranja (600 nm)
Intended to improve skin texture.,Revitaliza la piel y ayuda a mejorar su textura.,Intendido para mejorar la textura de la piel.,faq-swiss-202,Diseñado para mejorar la textura de la piel.,Diseñado para mejorar la textura de la piel.,Destinado a mejorar la textura de la piel.
Yellow light (580 nm),Luz LED amarilla (570 nm),Luz amarilla (580 nm),faq-swiss-202,Luz amarilla (580 nm),Luz amarilla (580 nm),Luz amarilla (580 nm)
Intended to reduce the appearance of redness.,Reduce la apariencia de las rojeces y calma la piel.,Intencionado para reducir la apariencia de enrojecimiento.,faq-swiss-202,Diseñado para reducir la apariencia de enrojecimiento.,Diseñado para reducir la apariencia de enrojecimiento.,Destinado a reducir la apariencia de rojez.
Purple LED light (440 nm),Luz LED morada (450 nm),Luz LED morada (440 nm),faq-swiss-202,Luz LED púrpura (440 nm),Luz LED púrpura (440 nm),Luz LED morada (440 nm)
Intended to improve hyperpigmentation.,Reduce la apariencia de las manchas de la edad y la hiperpigmentación.,Intencionado para mejorar la hiperpigmentación.,faq-swiss-202,Diseñado para mejorar la hiperpigmentación.,Diseñado para mejorar la hiperpigmentación.,Con el fin de mejorar la hiperpigmentación.
Cyan LED light (485 nm),Luz LED cian (463 nm),Luz LED de color cian (485 nm),faq-swiss-202,Luz LED cian (485 nm),Luz LED cian (485 nm),Luz LED azul claro (485 nm)
Intended to calm stressed skin.,Calma y alivia la piel estresada.,Intendido para calmar la piel estresada.,faq-swiss-202,Diseñado para calmar la piel estresada.,Diseñado para calmar la piel estresada.,Destinado a calmar la piel estresada.
"* Green, Orange, Purple, Cyan, Yellow light are not intended to have a medical effect.","*Las luces verde, naranja, púrpura, cian y amarilla no están destinadas a tener un efecto médico.","Verde, naranja, morado, cian y amarillo no están destinados a tener un efecto médico.",faq-swiss-202,"La luz verde, naranja, púrpura, cian y amarilla no está destinada a tener un efecto médico.","La luz verde, naranja, púrpura, cian y amarilla no está destinada a tener un efecto médico.","Los colores verde, naranja, púrpura, ciano y amarillo no están destinados a tener un efecto médico."
By popular demand,Por demanda popular,Por demanda popular,faq-swiss-202,Por petición popular,Por la demanda popular.,¡Traduzco de inglés a español desde España!
"The world’s best-selling wireless LED face mask, but upgraded to fit the needs of FAQ Swiss fans.","La máscara facial LED inalámbrica más vendida del mundo, mejorada para las necesidades de los fans de FAQ Swiss.","La mascarilla facial LED inalámbrica más vendida del mundo, pero mejorada para adaptarse a las necesidades de los aficionados suizos de FAQ.",faq-swiss-202,"La máscara LED inalámbrica más vendida del mundo, pero actualizada para adaptarse a las necesidades de los fans de FAQ Swiss.","La máscara LED inalámbrica más vendida del mundo, pero actualizada para adaptarse a las necesidades de los fans de FAQ Swiss.","El dispositivo facial inalámbrico de LED más vendido a nivel mundial, pero con mejoras para adaptarlo a las necesidades de los fanáticos suizos de la FAQ."
634 LED light points,634 puntos de luz LED,634 puntos de luz LED,faq-swiss-202,634 puntos de luz LED,634 puntos de luz LED,634 puntos de luz LED
"An additional 9 LED bulbs in the forehead diamond to fade stubborn frown lines, and extra LED points.","9 LEDs adicionales en el diamante de la frente para atenuar las arrugas rebeldes del ceño, más puntos LED extra.","9 bombillas LED adicionales en el diamante de la frente para desvanecer las líneas de expresión rebeldes, y puntos LED extra.",faq-swiss-202,"Un LED adicional de 9 en la forma de diamante en la frente para difuminar las arrugas de expresión rebeldes, y puntos LED adicionales.","Nueve bombillas LED adicionales en la frente diamante para desvanecer las arrugas de la frente rebeldes, y puntos LED extra.","Luz negra para párpados de alta intensidad, y luces rojas adicionales en la frente para mejorar las arrugas de la cara."
50% higher light intensity,50 % más de intensidad lumínica,50% mayor intensidad luminosa,faq-swiss-202,intensidad de luz 50% mayor,Intensidad de luz un 50% mayor,Intensidad de luz un 50% mayor
"To treat the skin around the eyes more effectively, while still protecting it with a gold frame.","Para tratar mejor la piel alrededor de los ojos, protegiéndola con un marco dorado.","Para tratar la piel alrededor de los ojos con mayor eficacia, al mismo tiempo que se protege con un marco de oro.",faq-swiss-202,"Para tratar la piel alrededor de los ojos de forma más eficaz, al mismo tiempo que se protege con un marco dorado.","Para tratar la piel alrededor de los ojos de forma más eficaz, mientras se protege con un marco dorado.","Para tratar la piel alrededor de los ojos de forma más efectiva, protegiéndola con una montura dorada."
Clinically proven to:,Clínicamente probado para:,Clinicamente comprobado para:,faq-swiss-202,Demostrado clínicamente para:,Clinicamente probado a:,Estudios clínicos han demostrado que:
"Reduce wrinkles by 32%, acne by 48%, and sebum by 18%, and significantly increase elasticity in 2 weeks.","Reducir arrugas un 32 %, acné un 48 % y sebo un 18 %, y aumentar significativamente la elasticidad en 2 semanas.","Reduce arrugas en un 32%, acné en un 48% y sebo en un 18%, y aumenta significativamente la elasticidad en 2 semanas.",faq-swiss-202,"Reduce arrugas en un 32%, acné en un 48%, sebo en un 18% y aumenta significativamente la elasticidad en 2 semanas.","Reducir las arrugas en un 32%, el acné en un 48% y el sebo en un 18%, e incrementar significativamente la elasticidad en 2 semanas.","Disminuye las arrugas en un 32 %, el acné en un 48 % y la producción de sebo en un 18 %, y aumenta significativamente la elasticidad en dos semanas."
FAQ™ 202 Bundle,FAQ™ 202 Bundle,FAQ™ 202 Bundle,faq-swiss-202,Preguntas Frecuentes™ 202 Bundle,Preguntas Frecuentes™ 202 Bundle,¿Qué es el paquete de la FAQ™ 202?
FAQ™ 202 plus Pre-order,FAQ™ 202 plus Pre-order,FAQ™ 202 más Préstamo,faq-swiss-202,Preguntas Frecuentes™ 202 más Pre-pedido,Preguntas Frecuentes™ 202 plus Pre-orden,¿Que es FAQ™ 202 Plus?
"Designed to perfectly fit your face for even light coverage, this ultra-lightweight and wireless face mask uses red light therapy to deliver anti-aging results – all while you walk around and get on with your day. Reduce wrinkles and tackle acne in just 2 weeks.","Diseñada para adaptarse perfectamente a tu rostro y ofrecerte una cobertura de luz uniforme, esta máscara facial inalámbrica y ultraligera usa tecnologías clínicas para aportar resultados clínicos antiedad. Mientras la uses, podrás moverte con total libertad y continuar tu día. Reduce las arrugas y mejora la firmeza y elasticidad de la piel en sólo 2 semanas.","Diseñado para ajustarse perfectamente a tu rostro para una cobertura de luz uniforme, esta mascarilla facial ultra ligera y inalámbrica utiliza terapia con luz roja para proporcionar resultados antienvejecimiento, todo mientras caminas y sigues con tu día. Reducir las arrugas y combatir el acné en solo 2 semanas.",faq-swiss-202,"Diseñado para adaptarse perfectamente a tu rostro para una cobertura uniforme de color, esta máscara facial ultraligera y sin cables utiliza terapia de luz roja para ofrecer resultados antiedad, todo ello mientras caminas y te ocupas de tu día a día. Reduce las arrugas y combate el acné en solo 2 semanas.","Diseñado para adaptarse perfectamente a tu rostro para un color de cobertura uniforme, esta máscara facial ultraligera y sin cables utiliza terapia de luz roja para ofrecer resultados antienvejecimiento, todo ello mientras caminas y haces lo que tengas que hacer. Reduce las arrugas y combate el acné en solo 2 semanas.","Diseñada para encajar perfectamente con tu cara para una cobertura suave, esta máscara facial ultra-ligera y sin cables utiliza terapia de luz roja para proporcionar resultados anti-envejecimiento - todo mientras caminas alrededor y sigues adelante con tu día. Reduce arrugas e igualmente lucha contra el acné en solo 2 semanas."
600 LED light points placed in optimal locations ensure even light coverage.,600 puntos de luz perfectamente ubicados para garantizar una cobertura de luz uniforme.,600 puntos de luz LED colocados en ubicaciones óptimas garantizan una iluminación uniforme.,faq-swiss-202,600 puntos de luz LED ubicados en óptimas posiciones aseguran una cobertura uniforme de luz.,600 puntos de luz LED ubicados en óptimas posiciones aseguran una cobertura de luz uniforme.,600 puntos de luz LED situados en ubicaciones óptimas garantizan una cobertura uniforme de la luz.
100% of users report FAQ™ 202 fits their face perfectly.,El 100% de los usuarios declaró que FAQ™ 202 se adaptó perfectamente a su rostro,El 100 % de los usuarios reportan que FAQ™ 202 se adapta perfectamente a su rostro.,faq-swiss-202,El 100% de los usuarios informa que la FAQ™ 202 le queda perfectamente en la cara.,El 100% de los usuarios informa que la sección de preguntas frecuentes™ 202 encaja a la perfección en su rostro.,Los 100% de los usuarios informan que el FAQ™ 202 se adapta perfectamente a su cara.
"Ultra-lightweight, wireless & open eye design with non-slip headband make it easy to move around.","Ultraligera, sin cables, con abertura para los ojos y cinta de cabeza antideslizante para que te puedas mover fácilmente.","Ultraligero, inalámbrico y de diseño de ojo abierto con banda para la cabeza antideslizante lo hacen fácil de mover.",faq-swiss-202,"Ultra-ligero, inalámbrico y diseño de ojo abierto con diadema antideslizante facilita su movimiento.","Ligera, inalámbrica y con diseño de apertura ocular con banda de cabeza antideslizante hacen que sea fácil moverse.",Diseño de ojo abierto inalámbrico y ultraleve con una bandana anti-deslizante que facilita el movimiento.
FAQ™ 202 Silicone LED Face Mask,Máscara LED facial de silicona FAQ™ 202,FAQ™ 202 Máscara facial LED de silicona,faq-swiss-202,Preguntas frecuentes™ Máscara Facial LED de Silicona 202,Preguntas frecuentes™ 202 Máscara Facial LED de Silicona,Mascarilla de silicona con luces led de la serie FAQ 202 en español
60 mL FAQ™ Silicone Cleaning Spray,Spray limpiador de silicona FAQ™ 60 ml,Spray Limpiador de Silicona FAQ™ de 60 ml,faq-swiss-202,60 mL FAQ™ Spray Limpiador de Silicona,60 mL FAQ™ Spray de Limpieza de Silicona,60 mL FAQ™ Silicón Limpiaparabrisas Spray
Display case,Estuche,Vitrina,faq-swiss-202,Estante expositor,Estantería de exhibición,Vitrina.
Accessory pouch,Bolsa de almacenamiento,Bolsillo accesorio,faq-swiss-202,Bolsa de accesorios,Bolsa de accesorios,Morralito de accesorios
USB charging cable,Cable USB,Cable de carga USB,faq-swiss-202,Cable de carga USB,Cable de carga USB,Cable de carga USB.
Quick start guide,Guía de inicio rápido,Guía rápida de inicio,faq-swiss-202,Guía de inicio rápido,Guía de inicio rápido,Guía de inicio rápido
User manual,Manual de uso,Manual del usuario,faq-swiss-202,Manual de usuario,Manual de usuario,¿Cómo es posible que no tenga ninguna indicación de la fecha en el cual se realizaron las pruebas del producto?
2-year warranty,Garantía de 2 años,Garantía de 2 años,faq-swiss-202,2 años de garantía,Garantía de 2 años,Garantía de 2 años.
"The ultimate best-buy bundle proves that a perfect pair can change a life. An Anti-Aging LED Mask with 8 wavelengths, including NIR, serves all skin needs, tackling everything from fine lines and pigmentation to blemishes and dullness. Combine the lightweight, wire-free LED mask with the FAQ™ Red Light Peptide Serum, an all-in-one antioxidant-rich serum with Peptides, Sea Daffodil, HA, Green Tea & Cica.","La aplicación FAQ™ Swiss incluye tratamientos prediseñados que tratan problemas específicos de la piel. El pack definitivo y más rentable demuestra que una pareja perfecta puede cambiar tu vida. Una máscara LED antiedad con 8 longitudes de onda, incluyendo NIR, que cubre todas las necesidades de la piel, desde líneas finas y pigmentación hasta imperfecciones y falta de luminosidad. Combina esta ligera máscara LED sin cables con el sérum FAQ™ Red Light Peptide, un sérum todo en uno rico en antioxidantes con péptidos, Narciso Marino, ácido hialurónico, té verde y cica.","El paquete definitivo mejor oferta demuestra que un dúo perfecto puede cambiar una vida. Una Máscara Antienvejecimiento LED con 8 longitudes de onda, incluyendo NIR, satisface todas las necesidades de la piel, abordando todo desde líneas finas y pigmentación hasta imperfecciones y opacidad. Combina la máscara LED ligera y sin cables con el FAQ™ Sérum Red Light Peptide, un sérum antioxidante multifunción con péptidos, narciso marino, ácido hialurónico, té",faq-swiss-202,"El paquete estrella definitivo demuestra que una pareja perfecta puede cambiar una vida. Una Máscara LED Anti-Edad con 8 longitudes de onda, incluyendo NIR, satisface todas las necesidades de la piel, abordando desde las arrugas y la pigmentación hasta los brotes y el opacidad. Combina la máscara LED ligera y sin cables con el suero Red Light Peptide™ Rojo, un suero antioxidante todo en uno con Péptidos, Descripción del Jazmín","El paquete definitivo es el mejor, demuestra que una pareja perfecta puede cambiar una vida. Una Máscara LED Anti-Edad con 8 longitudes de onda, incluyendo NIR, satisface todas las necesidades de la piel, abordando todo, desde las líneas finas y la pigmentación hasta las imperfecciones y la opacidad. Combina la máscara LED ligera, sin cables, con el suero Red Light Peptide Anti-Oxidante, un suero todo en uno rico en","El paquete definitivo para compras comprobará que una pareja perfecta puede cambiar una vida. Una máscara LED anti-envejecimiento con 8 longitudes de onda, incluyendo NIR, atiende a todas las necesidades de la piel, abordando todo, desde líneas finas y pigmentación hasta imperfecciones e insatisfacción. Combine la máscara LED liviana y sin"
